in,rank,accesses,reads,writes
210440,686,110,110,0
210478,687,110,110,0
210482,688,110,110,0
210496,689,110,110,0
210501,690,110,110,0
210503,691,110,110,0
210504,692,110,110,0
210505,693,110,110,0
210517,694,110,110,0
210524,695,110,110,0
210607,696,110,110,0
210610,697,110,110,0
210622,698,110,110,0
210635,699,110,110,0
210664,700,110,110,0
210667,701,110,110,0
210670,702,110,110,0
210678,703,110,110,0
210679,704,110,110,0
210683,705,110,110,0
210686,706,110,110,0
210690,707,110,110,0
210699,708,110,110,0
210702,709,110,110,0
210704,710,110,110,0
210715,711,110,110,0
210716,712,110,110,0
210718,713,110,110,0
210749,714,110,110,0
210757,715,110,110,0
210879,716,110,110,0
210934,717,110,110,0
210940,718,110,110,0
210989,719,110,110,0
211024,720,110,110,0
211248,721,110,110,0
211252,722,110,110,0
211254,723,110,110,0
211291,724,110,110,0
211308,725,110,110,0
211320,726,110,110,0
211327,727,110,110,0
211335,728,110,110,0
211342,729,110,110,0
211354,730,110,110,0
211375,731,110,110,0
211435,732,110,110,0
211436,733,110,110,0
211443,734,110,110,0
211449,735,110,110,0
211450,736,110,110,0
211478,737,110,110,0
211481,738,110,110,0
211482,739,110,110,0
211509,740,110,110,0
211510,741,110,110,0
211521,742,110,110,0
211527,743,110,110,0
211529,744,110,110,0
211546,745,110,110,0
211562,746,110,110,0
211567,747,110,110,0
211568,748,110,110,0
211570,749,110,110,0
211571,750,110,110,0
211575,751,110,110,0
211578,752,110,110,0
211612,753,110,110,0
211615,754,110,110,0
211616,755,110,110,0
211621,756,110,110,0
211623,757,110,110,0
211698,758,110,110,0
211699,759,110,110,0
220433,760,110,105,5
220501,761,109,82,27
220511,762,109,99,10
215256,763,108,107,1
73765,764,108,108,0
215298,765,107,74,33
296988,766,107,107,0
263472,767,107,107,0
1,768,106,106,0
247941,769,104,45,59
199347,770,104,104,0
202175,771,104,104,0
215318,772,103,59,44
201666,773,101,101,0
39099,774,101,101,0
220469,775,101,94,7
201665,776,100,100,0
217317,777,100,100,0
217318,778,100,100,0
217319,779,100,100,0
217320,780,100,100,0
217321,781,100,100,0
217322,782,100,100,0
217323,783,100,100,0
217324,784,100,100,0
217325,785,100,100,0
240837,786,100,100,0
130373,787,100,100,0
249780,788,100,30,70
152369,789,99,13,86
215263,790,99,46,53
87222,791,98,98,0
215300,792,95,90,5
220424,793,95,93,2
